名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
东莞青旅,广东,东莞,东莞,0769,,西湖,西湖中路,景点,旅行社,113.858966,23.096282
丰行旅行社,广东,东莞,东莞,0769,,花园新村,花园新村红荔路7号怡诚大厦A座5层500室,景点,旅行社,113.762359,23.059247
道滘儿童乐园,广东,东莞,东莞,0769,88835128,道滘镇中心城区,沿江中路与花园大街交叉口东北150米,景点,游乐场,113.678429,23.002731
象岭公园,广东,东莞,东莞,0769,,大朗镇,甲田路9号,景点,公园/广场,113.882568,22.857238
松山公园,广东,东莞,东莞,0769,,厚街镇,厚街大道,景点,公园/广场,113.666466,22.941475
北栅广场,广东,东莞,东莞,0769,,北栅,北栅凤冈路90号101室(,景点,广场,113.717972,22.833487
谭公圣庙,广东,东莞,东莞,0769,,沥林镇,农行路14号,景点,宗教,114.217735,22.973421
兴龙社区文化活动中心,广东,东莞,东莞,0769,,老城区,绿化东路250号,景点,展览馆,113.859123,23.109146
广之旅,广东,东莞,东莞,0769,,东纵路,东城西路1号鸿福大厦3楼3A13室,景点,旅行社,113.769149,23.037519
旗岭森林公园,广东,东莞,东莞,0769,,常平镇,常平镇朗洲工业路,景点,森林公园,114.06514,22.945477
云冈古寺,广东,东莞,石排镇,0769,,石排镇中心城区,楼下大路云岗古寺附近,景点,宗教,113.928513,23.080631
善域公园,广东,东莞,东莞,0769,,企石镇中心城区,振华东一横路,景点,公园/广场,114.021492,23.067362
梅塘天后古宫,广东,东莞,东莞,0769,,梅塘田心,民安街与马庙街交叉口西150米,景点,宗教,113.973075,22.826805
涌口公园,广东,东莞,石碣镇,0769,,石碣镇,石碣镇沿江中路附近,景点,公园/广场,113.813881,23.124472
江滨公园,广东,东莞,东莞,0769,,高埗镇,沿江南路高埗江滨广场附近,景点,公园/广场,113.739365,23.061315
东莞青旅,广东,东莞,沙田镇,0769,81697886,沙田镇中心城区,沙太一路142号,景点,旅行社,113.619571,22.914981
袁山贝村展览馆,广东,东莞,东莞,0769,,乐购购物广场,常朗路水香居,景点,展览馆,113.984428,22.958105
金鳌洲主题公园,广东,东莞,东莞,0769,22186002,华南摩尔,莞城街道金曲路与金鳌洲鸭排塘一巷交叉口北100米,景点,公园/广场,113.737122,23.040848
潢涌江滨公园,广东,东莞,东莞,0769,,中堂镇,高埗镇台商子弟学校附近,景点,公园/广场,113.746234,23.121649
雅园公园,广东,东莞,东莞,0769,137****6048,东泰/嘉荣广场,南博职业技术学院附近,景点,公园/广场,113.758514,22.974066
萧氏宗祠,广东,东莞,东莞,0769,,天鹅湖,木棆路木棆公园西北侧约50米,景点,宗教,113.998466,22.981903
迎宾公园,广东,东莞,东莞,0769,,水濂山,南城街道森林湖小区附近,景点,公园/广场,113.733498,22.980268
南山园,广东,东莞,东莞,0769,,清溪镇,金腰路72号,景点,公园/广场,114.151772,22.782909
红豆杉生态园,广东,东莞,东莞,0769,,理工城市学院,寮步镇浮竹山佛岭路45号,景点,动植物园,113.84507,22.969904
康泰旅行社有限公司,广东,东莞,东莞,0769,89995666,长安镇区,长安镇乌沙环南路4号,景点,旅行社,113.779046,22.783566
南湖国旅,广东,东莞,东坑镇,0769,86882667,东坑镇中心城区,兴龙东路91号,景点,旅行社,113.938232,22.998083
阇西山公园,广东,东莞,沙田镇,0769,,沙田镇中心城区,金沙寺附近,景点,公园/广场,113.606239,22.897118
舰艇枪炮场,广东,东莞,东莞,0769,,虎门镇,炮台路,景点,人文古迹,113.663254,22.758995
樟木头步行街,广东,东莞,东莞,0769,,天河city/樟木头中心,新兴街43号,景点,步行街,114.066833,22.903414
石龙坑文化公园,广东,东莞,东莞,0769,,寮步镇中心城区,校园街附近,景点,文化公园,113.885208,22.983461
凤山公园,广东,东莞,东莞,0769,,厚街大润发,厚街康乐南路泽美路段,景点,公园/广场,113.654808,22.91938
新马莲公园,广东,东莞,东莞,0769,,大朗镇,莲大路8号,景点,公园/广场,113.950821,22.902876
上江城公园,广东,东莞,东莞,0769,,高埗镇中心城区,庆丰街一巷1号,景点,公园/广场,113.744464,23.064349
寮厦广场,广东,东莞,东莞,0769,,寮夏/河田,彩云西路莆田海鲜楼旁边,景点,广场,113.679237,22.940407
艾菲尔巴黎铁塔,广东,东莞,东莞,0769,,大岭山镇,莞长路大岭山段62号,景点,人文古迹,113.810742,22.919972
中围管理区,广东,东莞,东莞,0769,,老城区,忠维路与桃园街交叉口东南100米,景点,旅行社,113.852104,23.105925
丰泰裕田花园商业街,广东,东莞,东莞,0769,,丰泰花园酒店,大板地,景点,步行街,113.735023,22.812342
东获公园,广东,东莞,茶山镇,0769,,镇中心/怡华北路,东岳路119号,景点,公园/广场,113.880287,23.073091
东莞市广之旅旅行社有限公司,广东,东莞,东莞,0769,27234833,景湖时代城/西平,宏伟路格林小城罗兰院20号,景点,旅行社,113.753104,22.996834
清溪观音庙,广东,东莞,东莞,0769,,香芒东路,重木公园一巷,景点,宗教,114.173103,22.846281
东莞中旅,广东,东莞,东莞,0769,85321638,长安广场,锦绣路中惠山畔名城商业铺148号,景点,旅行社,113.797926,22.816777
环宇旅行社,广东,东莞,东莞,0769,,景湖时代城/西平,宏伟路108号,景点,旅行社,113.751123,22.994145
省级生态公益林保护区,广东,东莞,东莞,0769,,清溪镇,桃源路,景点,自然景观,114.207038,22.808949
阳光旅行社,广东,东莞,东莞,0769,83911288,中元街,沿河东二路,景点,旅行社,113.987877,22.966531
港中旅,广东,东莞,东莞,0769,85081228,厚街大润发,康乐南路199号,景点,旅行社,113.656924,22.917672
北面社区文化广场,广东,东莞,东莞,0769,,威远,环岛路,景点,公园/广场,113.628609,22.812733
天后宫,广东,东莞,石排镇,0769,,石排镇,虎门镇王屋村,景点,宗教,113.916457,23.105329
横沥文化广场,广东,东莞,东莞,0769,,横沥镇中心城区,沿江路东100米,景点,广场,113.96386,23.01479
高埗亲水公园,广东,东莞,东莞,0769,,高埗镇,沿江南路,景点,公园/广场,113.736664,23.061043
荣华美术馆,广东,东莞,东莞,0769,,樟木头镇,樟木头南城翠樱街57号新动力能源大厦,景点,美术馆,114.070564,22.895996
